næring (SN2007),2016,2017,2018,2019,2020,2021
Annen tjenesteyting,18668.0,19156.1,19548.3,20479.2,19640.0,21439.0
Bergverksdrift og utvinning,125343.8,107068.4,120141.7,138319.5,150846.1,1032303.2
Bygge- og anleggsvirksomhet,521467.4,558377.4,599758.2,626851.8,627740.1,674761.0
"Elektrisitets-, gass-, damp- og varmtvannsforsyning",,,,,,211575.0
"Faglig, vitenskapelig og teknisk tjenesteyting",222198.5,233201.8,254900.8,279628.8,271520.7,288637.7
Forretningsmessig tjenesteyting,175639.7,182039.1,193616.1,206468.2,171009.2,171840.3
Helse- og sosialtjenester,,,,,,99512.4
Industri,771055.9,799277.5,835001.7,867266.6,843333.6,885480.0
Informasjon og kommunikasjon,235851.4,238255.7,251916.1,271493.3,280983.9,303977.1
"Kultur, underholdning og fritid",,,,,,67193.1
Omsetning og drift av fast eiendom,151458.5,163096.4,165866.8,174604.3,186979.1,200827.4
Overnattings- og serveringsvirksomhet,79496.2,83210.0,87105.2,93026.4,70084.3,82277.2
Transport og lagring,383721.2,392093.0,401204.4,422605.2,345397.1,397641.3
Undervisning,,,,,,30073.2
"Vann, avløp, renovasjon",25690.1,28101.2,30249.8,31910.9,34398.8,40088.7
"Varehandel, reparasjon av motorvogner",1565428.2,1649140.5,1752909.1,1808429.0,1920984.1,2117493.7
